"filename", "language", "TypeScript JSX", "JSON", "JavaScript JSX", "JSON with Comments", "JavaScript", "Markdown", "Ruby", "comment", "blank", "total"
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\components\MapScreen.jsx", "JavaScript JSX", 0, 0, 563, 0, 0, 0, 0, 40, 69, 672
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\ConfirmarRecorridoScreen.jsx", "JavaScript JSX", 0, 0, 631, 0, 0, 0, 0, 22, 53, 706
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\EditProfileScreen.jsx", "JavaScript JSX", 0, 0, 496, 0, 0, 0, 0, 16, 34, 546
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\EnterCodeScreen.jsx", "JavaScript JSX", 0, 0, 625, 0, 0, 0, 0, 16, 45, 686
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\EstadisticasScreen.jsx", "JavaScript JSX", 0, 0, 711, 0, 0, 0, 0, 19, 40, 770
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\Home.jsx", "JavaScript JSX", 0, 0, 240, 0, 0, 0, 0, 8, 18, 266
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\HowToUseScreen.jsx", "JavaScript JSX", 0, 0, 598, 0, 0, 0, 0, 19, 34, 651
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\InvalidCodeScreen.jsx", "JavaScript JSX", 0, 0, 464, 0, 0, 0, 0, 9, 40, 513
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\Login.jsx", "JavaScript JSX", 0, 0, 590, 0, 0, 0, 0, 28, 44, 662
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\LogingScreen.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 2, 6, 41
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\MapaEstacionamientos.jsx", "JavaScript JSX", 0, 0, 574, 0, 0, 0, 0, 15, 35, 624
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\MapaPlacas.jsx", "JavaScript JSX", 0, 0, 447, 0, 0, 0, 0, 16, 24, 487
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\MenuScreen.jsx", "JavaScript JSX", 0, 0, 435, 0, 0, 0, 0, 14, 23, 472
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\NavegacionScreen.jsx", "JavaScript JSX", 0, 0, 2782, 0, 0, 0, 0, 190, 258, 3230
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\RegisterScreen.jsx", "JavaScript JSX", 0, 0, 661, 0, 0, 0, 0, 16, 42, 719
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\SearchScreen.jsx", "JavaScript JSX", 0, 0, 420, 0, 0, 0, 0, 15, 27, 462
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\SeleccionarUbicacionScreen.jsx", "JavaScript JSX", 0, 0, 529, 0, 0, 0, 0, 21, 38, 588
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\screens\SuccessScreen.jsx", "JavaScript JSX", 0, 0, 466, 0, 0, 0, 0, 21, 33, 520
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\tsconfig.json", "JSON with Comments", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"Total", "-", 8, 14939, 12220, 3, 85, 49, 4, 537, 1014, 28859
